Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uf 25v,C_0805_2012Metric,15.748,-12.5315,90.0,top
C2,220nF,C_0805_2012Metric,2.032,-22.86,0.0,top
C3,2.2uf,C_1206_3216Metric,25.527,-13.13,-90.0,top
C4,20p,C_0402_1005Metric,7.084,-18.1195,180.0,top
C6,10uF,C_0805_2012Metric,17.018,-8.89,90.0,top
C7,100nF,C_0402_1005Metric,7.084,-17.0975,180.0,top
C8,1uF,C_0402_1005Metric,12.446,-28.2795,-90.0,top
C9,100nF,C_0402_1005Metric,7.084,-16.0875,180.0,top
C10,1uF,C_0402_1005Metric,9.017,-27.7715,180.0,top
C11,100nF,C_0402_1005Metric,9.045,-28.6605,180.0,top
C16,1uF,C_0805_2012Metric,19.431,-16.5955,-90.0,top
C18,20p,C_0402_1005Metric,6.096,-19.05,180.0,top
C19,33nf,C_0402_1005Metric,6.955,-26.3745,180.0,top
C21,2.2uf,C_1206_3216Metric,32.766,-13.081,-90.0,top
C23,2.2uf,C_1206_3216Metric,30.226,-13.13,-90.0,top
C24,1uF,C_0805_2012Metric,19.431,-19.8975,-90.0,top
C26,2.2uf,C_1206_3216Metric,27.94,-13.13,-90.0,top
C27,1uF,C_0805_2012Metric,19.431,-23.1995,-90.0,top
C41,100nF,C_0402_1005Metric,20.828,-13.462,0.0,top
D1,1N4148WS,D_SOD-323,21.463,-19.8975,90.0,top
D2,1N4148WS,D_SOD-323,13.97,-26.7555,-90.0,top
D3,LED,LED_0805_2012Metric,1.7295,-6.604,180.0,top
D4_white1,LED,LED_0805_2012Metric,2.032,-24.892,180.0,top
D4_white2,LED,LED_0805_2012Metric,2.032,-27.94,0.0,top
D5,SS210,D_SOD-323,6.858,-13.97,90.0,top
D7,1N4148WS,D_SOD-323,21.463,-16.5955,90.0,top
D8,BAT30k,D_SOD-523,4.572,-26.162,-90.0,top
D10,1N4148WS,D_SOD-323,16.002,-26.7555,-90.0,top
D11,1N4148WS,D_SOD-323,21.463,-23.1995,-90.0,top
D12,1N4148WS,D_SOD-323,18.034,-26.7215,-90.0,top
D13,PRTR5V0U2X,SOT-143,7.001,-10.734,180.0,top
IC1,STSPIN32G4,STSPIN32G4,13.05595,-19.8099,0.0,top
J1,Conn_01x03_Pin,JST_XH_B3B-XH-AM_1x03_P2.50mm_Vertical,28.367064,-26.907,180.0,top
J2,Conn_01x12_MountingPin,0.5K-A-12PBF,16.724,-30.97,0.0,top
J4,Conn_01x02_Female,PinHeader_1x02_P2.54mm_Vertical,30.221,-8.001,90.0,top
J5,Conn_01x03_MountingPin,JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical,19.288,-2.794,0.0,bottom
J6,Conn_01x06_MountingPin,PinHeader_1x06_P1.27mm_Vertical,5.165074,-33.4645,-60.0,top
J8,Conn_01x03_MountingPin,JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical,19.288,-2.794,0.0,top
J9,Conn_01x06_MountingPin,JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical,2.794,-12.446,90.0,top
J14,USB_C_Receptacle_USB2.0,USB_C_Receptacle_XKB_U262-16XN-4BVC11,10.668,-3.937,180.0,top
L2,18uh,L_1812_4532Metric,11.684,-12.6245,0.0,top
Q1,Q_Dual_NMOS_G1,V-DFN3030-8 (Type K),28.362,-21.866,0.0,top
Q2,Q_Dual_NMOS_G1,V-DFN3030-8 (Type K),31.455,-21.866,0.0,top
Q7,Q_Dual_NMOS_G1,V-DFN3030-8 (Type K),25.273,-21.866,0.0,top
R1,33,R_0402_1005Metric,23.114,-17.526,90.0,top
R2,10k,R_0402_1005Metric,17.272,-13.714,90.0,top
R3,10k,R_0402_1005Metric,17.272,-11.809,90.0,top
R4,33,R_0402_1005Metric,19.939,-28.194,180.0,top
R5,220,R_0402_1005Metric,4.318,-6.985,0.0,top
R6,220,R_0402_1005Metric,1.27,-26.416,180.0,top
R7,7mΩ,R_1206_3216Metric,31.242,-17.78,-90.0,top
R8,220,R_0402_1005Metric,1.27,-29.464,0.0,top
R11,10k,R_0402_1005Metric,24.003,-10.922,90.0,top
R13,33,R_0402_1005Metric,21.592,-14.478,0.0,top
R15,7mΩ,R_1206_3216Metric,28.575,-17.78,-90.0,top
R17,33,R_0402_1005Metric,21.338,-25.654,180.0,top
R18,33,R_0402_1005Metric,19.558,-26.2495,90.0,top
R19,5.1k,R_0402_1005Metric,14.224,-9.398,180.0,top
R20,5.1k,R_0402_1005Metric,4.318,-5.969,0.0,top
R23,1.5k,R_0402_1005Metric,10.926,-27.7715,0.0,top
R24,1.5k,R_0402_1005Metric,9.017,-26.7555,180.0,top
R25,33,R_0402_1005Metric,12.446,-26.2475,90.0,top
R26,22k,R_0402_1005Metric,10.922,-25.7395,180.0,top
R27,22k,R_0402_1005Metric,10.922,-26.7555,0.0,top
R29,11k,R_0402_1005Metric,9.017,-25.7395,0.0,top
R37,72.3k,R_0402_1005Metric,6.983,-27.3905,0.0,top
R39,3.01k,R_0402_1005Metric,6.983,-25.3585,180.0,top
R41,22k,R_0402_1005Metric,7.493,-21.971,-90.0,top
R44,1.5k,R_0402_1005Metric,4.826,-22.352,180.0,top
R47,22k,R_0402_1005Metric,6.477,-21.971,90.0,top
R50,1.5k,R_0402_1005Metric,6.477,-23.876,-90.0,top
R53,11k,R_0402_1005Metric,7.493,-23.876,-90.0,top
R98,120,R_0402_1005Metric,24.13,-8.89,-90.0,top
R99,10K,R_0402_1005Metric,24.13,-6.477,90.0,top
U2,TJA1057T/1Z,SOIC-8_3.9x4.9mm_P1.27mm,20.701,-9.271,0.0,top
Y3,24mhz,Crystal_SMD_3225-4Pin_3.2x2.5mm,2.286,-19.558,90.0,top
